,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
211,212,"Sherman Douglas, G",NJ,20,15.5,-0.46,-0.33,-0.79,0.33
212,213,"Kendall Gill, SF",NJ,76,31.0,0.15,-0.97,-0.82,2.59
213,214,"Haywoode Workman, G",MIL/TOR,36,9.7,-0.43,-0.41,-0.84,0.36
214,215,"Andrew DeClercq, C",CLE,82,22.3,-1.89,1.05,-0.84,1.99
215,216,"Lindsey Hunter, SG",DET,82,35.6,0.87,-1.73,-0.85,3.32
216,217,"Greg Buckner, SG",DAL,48,19.2,-1.07,0.21,-0.86,0.98
217,218,"Doug Overton, PG",BOS,48,9.0,-0.17,-0.72,-0.89,0.45
218,219,"Gerard King, F",WSH,62,17.1,-1.48,0.58,-0.89,1.08
219,220,"Mark Bryant, F",CLE,75,22.8,-3.15,2.23,-0.93,1.71
220,221,"Sam Mack, G",GS,23,14.5,-1.01,0.06,-0.95,0.34
221,222,"Eric Murdock, G",LAC,40,17.3,-1.26,0.28,-0.97,0.69
222,223,"Armon Gilliam, F",UTAH,50,15.6,-1.66,0.68,-0.98,0.7
223,224,"Harold Jamison, F",MIA,12,6.2,-0.64,-0.34,-0.98,0.07
224,225,"Alvin Williams, PG",TOR,55,14.2,0.56,-1.54,-0.99,0.77
225,226,"Wesley Person, SF",CLE,79,26.0,0.6,-1.59,-0.99,2.04
226,227,"David Wesley, SG",CHA,82,33.7,0.81,-1.83,-1.02,2.58
227,228,"Howard Eisley, PG",UTAH,82,25.6,-0.93,-0.09,-1.02,1.87
228,229,"Mark Strickland, F",MIA,58,11.4,-0.43,-0.6,-1.03,0.61
229,230,"George McCloud, F",DEN,78,27.2,0.92,-1.95,-1.04,2.07
230,231,"Jalen Rose, SG",IND,80,37.2,0.38,-1.44,-1.06,2.75
231,232,"Avery Johnson, PG",SA,82,31.4,-0.49,-0.57,-1.06,2.3
232,233,"Malik Rose, PF",SA,74,18.1,-1.68,0.6,-1.09,1.17
233,234,"Cory Alexander, PG",DEN,29,11.3,-1.86,0.76,-1.11,0.29
234,235,"Dean Garrett, C",MIN,56,10.8,-3.89,2.78,-1.11,0.5
235,236,"Elden Campbell, C",CHA,78,32.5,-1.93,0.82,-1.11,2.17
236,237,"Randy Livingston, PG",PHX,79,13.7,-1.09,-0.03,-1.12,0.94
237,238,"Kevin Ollie, PG",PHI,40,7.3,-1.2,0.08,-1.12,0.24
238,239,"Toby Bailey, G",PHX,46,9.8,-0.83,-0.3,-1.13,0.4
239,240,"Jumaine Jones, SF",PHI,33,4.2,-1.7,0.56,-1.14,0.11
240,241,"Jumaine Jones, SF",PHI,33,4.2,-1.7,0.56,-1.14,0.11
241,242,"Chris Childs, G",NY,71,23.6,-2.43,1.28,-1.15,1.38
242,243,"Larry Hughes, SG",PHI/GS,82,28.3,0.37,-1.55,-1.18,2.0
243,244,"Oliver Miller, C",PHX,51,21.3,-1.01,-0.19,-1.2,0.94
244,245,"Corie Blount, PF",PHX,38,11.7,-2.11,0.91,-1.2,0.36
245,246,"Matt Bullard, F",HOU,56,18.3,0.35,-1.56,-1.21,0.85
246,247,"Doug Christie, SG",TOR,73,31.0,0.81,-2.03,-1.22,1.85
247,248,"Antonio McDyess, PF",DEN,81,33.3,0.51,-1.74,-1.23,2.26
248,249,"Anthony Peeler, SG",MIN,82,25.3,0.33,-1.57,-1.24,1.65
249,250,"Loy Vaught, F",DET,43,6.8,-2.4,1.15,-1.25,0.23
250,251,"Elliot Perry, G",NJ,60,13.4,-0.17,-1.1,-1.26,0.63
251,252,"Ryan Robertson, G",SAC,1,25.0,-0.67,-0.65,-1.32,0.02
252,253,"Evan Eschmeyer, C",NJ,31,12.0,-1.12,-0.23,-1.35,0.27
253,254,"Vin Baker, PF",SEA,79,36.1,-1.58,0.2,-1.38,1.97
254,255,"Ervin Johnson, C",MIL,80,26.6,-1.84,0.45,-1.39,1.5
255,256,"Antawn Jamison, PF",GS,43,36.2,0.72,-2.14,-1.42,1.08
256,257,"Jermaine O'Neal, C",POR,70,12.3,-1.73,0.31,-1.42,0.54
257,258,"Corey Benjamin, G",CHI,48,18.0,-1.68,0.25,-1.44,0.54
258,259,"Sean Rooks, C",DAL,71,14.1,-2.32,0.88,-1.44,0.67
259,260,"Anthony Mason, F",CHA,82,38.2,-1.38,-0.06,-1.44,2.05
260,261,"Vinny Del Negro, G",MIL,67,18.1,-1.16,-0.28,-1.44,0.78
261,262,"Khalid Reeves, G",CHI,3,16.0,-1.03,-0.43,-1.45,0.03
262,263,"Jim Mcilvaine, C",NJ,66,15.9,-3.37,1.92,-1.45,0.68
263,264,"Matt Harpring, SF",ORL,4,15.8,-2.31,0.85,-1.46,0.05
264,265,"Marcus Brown, SG",DET,6,7.5,0.09,-1.55,-1.46,0.03
265,266,"Jerry Stackhouse, SF",DET,82,38.4,2.62,-4.1,-1.48,2.16
266,267,"Ruben Patterson, PF",SEA,81,25.9,0.75,-2.23,-1.48,1.33
267,268,"Olden Polynice, C",UTAH,82,22.2,-2.83,1.35,-1.49,1.1
268,269,"Mark Hendrickson, F",CLE/NJ,15,4.7,-1.32,-0.19,-1.51,0.04
269,270,"Brian Skinner, PF",LAC,33,23.5,-2.54,0.98,-1.56,0.46
270,271,"Rusty LaRue, SG",CHI,4,32.3,-1.4,-0.16,-1.56,0.07
271,272,"Walter McCarty, PF",BOS,61,14.4,-2.44,0.87,-1.57,0.51
272,273,"Tyrone Corbin, F",SAC,54,17.4,-2.39,0.82,-1.57,0.56
273,274,"Calvin Booth, C",WSH,11,13.0,-2.05,0.44,-1.61,0.08
274,275,"Rick Hughes, F",DAL,21,10.7,-0.48,-1.14,-1.61,0.13
275,276,"Antonio Davis, PF",TOR,79,31.4,-1.41,-0.21,-1.62,1.35
276,277,"Drew Barry, G",GS/ATL,16,9.9,0.64,-2.26,-1.62,0.09
277,278,"Christian Laettner, PF",DET,82,29.8,-0.4,-1.24,-1.63,1.38
278,279,"Vitaly Potapenko, C",BOS,79,22.7,-0.91,-0.76,-1.67,0.94
279,280,"Obinna Ekezie, C",VAN,39,9.0,-1.95,0.26,-1.69,0.16
280,281,"Jaren Jackson, G",SA,81,20.9,0.01,-1.71,-1.7,0.8
281,282,"Zan Tabak, C",IND,18,6.3,-1.62,-0.12,-1.74,0.05
282,283,"Chris Herren, G",DEN,45,13.3,-0.7,-1.05,-1.75,0.27
283,284,"Sean Elliott, F",SA,19,20.6,-2.47,0.66,-1.81,0.15
284,285,"Scott Padgett, PF",UTAH,47,9.2,-2.17,0.35,-1.82,0.16
285,286,"Roy Rogers, F",DEN,40,8.9,-1.86,0.04,-1.82,0.14
286,287,"Al Harrington, PF",IND,50,17.1,-1.54,-0.28,-1.82,0.34
287,288,"Bryant Reeves, C",VAN,69,25.7,-2.46,0.63,-1.83,0.7
288,289,"John Wallace, SF",NY,60,13.3,-1.99,0.15,-1.84,0.29
289,290,"Michael Ruffin, PF",CHI,71,13.7,-3.58,1.74,-1.85,0.36
290,291,"Rod Strickland, PG",WSH,69,31.7,1.39,-3.24,-1.85,0.86
291,292,"Otis Thorpe, C",MIA,51,15.2,-2.81,0.95,-1.85,0.28
292,293,"Gheorghe Muresan, C",NJ,30,8.9,-1.17,-0.7,-1.87,0.1
293,294,"Andrew Lang, C",NY,19,12.8,-3.37,1.48,-1.89,0.08
294,295,"Ron Mercer, SG",DEN/ORL,68,35.0,-0.56,-1.34,-1.91,0.86
295,296,"Anthony Parker, SG",ORL,16,11.6,-1.21,-0.7,-1.91,0.07
296,297,"Anthony Carter, PG",MIA,79,23.5,-2.4,0.48,-1.92,0.61
297,298,"Kevin Willis, C",TOR,79,21.3,-2.72,0.79,-1.92,0.55
298,299,"Jim Jackson, SF",ATL,79,35.0,0.37,-2.31,-1.94,0.9
