,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
72,Bradley Beal,WAS,29,40,17,23,36.0,110.5,3.8,9.9,14.1,0.9,18.8,0.4,9.6,12.5,9.8,5.9,36.3,0.104
73,Luka Doncic,DAL,23,65,44,21,35.4,110.3,8.3,23.0,33.7,1.2,23.4,0.6,18.4,10.5,10.5,9.2,35.9,0.104
74,Eric Bledsoe,POR,32,54,27,27,25.2,106.4,2.9,10.5,16.0,1.3,31.5,0.4,16.7,9.0,7.9,6.7,25.8,0.103
75,Khris Middleton,MIL,30,66,44,22,32.4,109.6,4.8,13.6,18.9,1.2,21.6,0.3,10.5,10.5,9.0,6.8,28.5,0.103
76,Jrue Holiday,MIL,32,67,47,20,32.9,109.7,3.5,10.0,13.6,1.6,28.7,0.4,16.4,10.5,8.5,7.0,28.3,0.103
77,Grayson Allen,MIL,26,66,43,23,27.3,107.5,2.9,9.7,13.6,0.7,15.6,0.3,11.0,8.7,7.1,6.2,24.0,0.103
78,Alec Burks,NYK,30,81,37,44,28.6,108.1,4.3,14.8,21.2,1.0,23.8,0.3,11.4,8.6,7.0,6.6,26.0,0.103
79,Jalen Suggs,ORL,21,48,16,32,27.2,107.8,3.0,10.2,14.7,1.2,30.1,0.4,15.1,9.2,7.9,7.1,23.5,0.102
80,Domantas Sabonis,SAC,26,62,21,41,34.4,110.1,8.9,26.4,36.2,1.0,19.3,0.4,13.2,11.7,8.6,9.2,34.9,0.102
81,Jalen Brunson,DAL,25,79,50,29,31.9,109.4,3.4,10.5,15.3,0.8,19.7,0.0,1.4,9.1,8.8,7.7,31.3,0.101
82,Victor Oladipo,MIA,30,8,4,4,21.6,104.7,2.5,11.0,16.7,0.6,20.0,0.1,5.3,8.3,5.4,4.4,19.3,0.101
83,Wendell Carter Jr.,ORL,23,62,16,46,29.9,108.8,8.2,26.0,36.5,0.6,13.4,0.7,25.9,10.1,8.0,6.8,26.2,0.101
84,Dennis Schroder,HOU,28,64,32,32,28.7,107.9,2.8,9.7,14.4,0.8,18.9,0.1,3.8,9.0,7.6,6.7,26.7,0.101
85,Josh Giddey,OKC,19,54,17,37,31.5,109.4,6.0,17.5,25.6,0.9,18.8,0.4,12.0,10.8,9.5,6.7,31.0,0.101
86,James Harden,PHI,32,65,40,25,37.2,111.4,6.8,17.6,25.7,1.3,21.8,0.6,13.4,13.1,9.7,11.8,37.3,0.099
87,Reggie Jackson,LAC,32,75,38,37,31.2,109.4,3.1,9.2,13.5,0.7,16.8,0.2,6.4,10.5,9.2,8.5,32.3,0.099
88,Luguentz Dort,OKC,23,51,17,34,32.7,110.1,3.4,9.7,14.1,0.9,17.5,0.4,10.7,10.8,9.5,7.3,32.3,0.099
89,Matisse Thybulle,PHI,25,66,43,23,25.5,107.2,1.7,6.4,9.5,1.7,36.4,1.1,34.5,7.3,6.9,7.3,26.2,0.099
90,Gabe Vincent,MIA,26,68,47,21,23.4,106.0,1.5,6.4,9.6,0.9,25.3,0.2,10.4,7.7,6.4,6.0,19.6,0.099
91,D'Angelo Russell,MIN,26,65,39,26,31.9,109.8,2.9,8.9,13.6,1.0,16.7,0.3,9.2,10.8,9.4,10.0,32.2,0.099
92,Bobby Portis,MIL,27,72,46,26,28.2,108.5,6.6,21.8,30.1,0.7,16.5,0.7,32.1,8.7,7.4,5.7,23.9,0.098
93,Anthony Edwards,MIN,20,72,39,33,34.2,110.6,3.9,11.3,17.0,1.5,23.2,0.6,15.9,11.4,9.9,10.4,33.4,0.097
94,Caleb Martin,MIA,26,60,37,23,22.9,106.2,2.7,11.4,17.3,1.0,24.9,0.5,26.8,7.8,6.9,6.0,19.7,0.097
95,Spencer Dinwiddie,DAL,29,67,38,29,29.6,109.4,3.5,11.1,16.4,0.7,18.6,0.2,6.7,8.6,8.0,5.8,29.2,0.097
96,Ty Jerome,OKC,24,48,15,33,16.7,100.4,1.2,7.2,10.6,0.6,22.7,0.1,6.5,5.5,3.9,3.4,15.2,0.096
97,Dejounte Murray,SAS,25,68,30,38,34.8,111.0,7.1,19.6,29.0,2.0,35.1,0.3,9.2,10.1,10.2,8.7,36.6,0.096
98,Isaac Okoro,CLE,21,67,34,33,29.6,109.3,1.9,6.5,9.2,0.8,19.6,0.3,12.0,10.4,7.2,7.3,29.5,0.096
99,De'Anthony Melton,MEM,24,73,49,24,22.7,106.4,3.6,15.0,21.9,1.4,28.3,0.5,18.1,7.5,6.3,5.5,22.5,0.095
100,Dorian Finney-Smith,DAL,29,80,51,29,33.0,110.4,3.2,9.5,13.8,1.1,24.4,0.5,19.3,9.3,8.7,8.1,32.2,0.095
101,Gary Payton II,GSW,29,71,47,24,17.6,102.3,2.5,13.2,19.5,1.4,34.4,0.3,16.4,5.9,4.8,4.0,16.1,0.095
102,Precious Achiuwa,TOR,22,73,46,27,23.6,106.7,4.5,18.8,27.7,0.5,12.4,0.6,24.8,6.6,7.0,5.4,21.8,0.094
103,Duncan Robinson,MIA,28,79,52,27,25.9,107.9,2.3,8.9,12.6,0.5,12.8,0.2,11.4,8.4,6.3,6.6,21.6,0.094
104,Lauri Markkanen,CLE,25,61,32,29,30.8,109.9,4.7,14.7,21.5,0.7,16.4,0.5,17.8,10.8,8.2,7.7,30.2,0.094
