,Season,Player,Team(s),Minutes,Offense Position,Offensive Archetype,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON
67,2020-21,Stephen Curry,GSW,2152,PG,Primary Ball Handler,10.50,5.29,5.93,-0.64
68,2016-17,Kevin Durant,GSW,2070,PF,Shot Creator,10.30,5.27,4.44,0.83
69,2018-19,Kevin Durant,GSW,2702,SF,Shot Creator,13.20,5.23,4.44,0.79
70,2019-20,Chris Paul,OKC,2208,PG,Shot Creator,10.70,5.15,3.85,1.30
71,2021-22,Jayson Tatum,BOS,2731,SF,Shot Creator,13.00,5.11,3.85,1.26
72,2010-11,Dwyane Wade,MIA,2823,SG,Shot Creator,13.74,5.09,4.40,0.69
73,2015-16,Kevin Durant,OKC,2578,SF,Shot Creator,12.70,5.07,5.01,0.06
74,2018-19,Rudy Gobert,UTA,2577,C,Roll + Cut Big,12.30,5.06,1.08,3.99
75,2018-19,Stephen Curry,GSW,2331,PG,Primary Ball Handler,11.20,5.06,4.96,0.10
76,2022-23,Jimmy Butler,MIA,2138,SF,Shot Creator,9.90,5.01,4.27,0.74
77,2015-16,Kyle Lowry,TOR,2851,PG,Shot Creator,13.80,4.98,3.78,1.20
78,2016-17,Draymond Green,GSW,2471,PF,Stretch Big,11.80,4.97,0.98,3.99
79,2016-17,Kyle Lowry,TOR,2244,PG,Shot Creator,10.70,4.96,4.21,0.75
80,2019-20,Jimmy Butler,MIA,1959,SF,Shot Creator,9.20,4.94,3.89,1.05
81,2020-21,Kawhi Leonard,LAC,1773,SF,Shot Creator,8.30,4.94,3.61,1.33
82,2023-24,Luka Doncic,DAL,1287,PG,Shot Creator,5.86,4.94,5.51,-0.57
83,2016-17,Jimmy Butler,CHI,2809,SF,Shot Creator,13.30,4.91,3.51,1.40
84,2018-19,LeBron James,LAL,1937,SF,Shot Creator,9.10,4.91,3.92,0.99
85,2022-23,Anthony Davis,LAL,1904,C,Shot Creator,8.70,4.90,2.21,2.69
86,2012-13,Mike Conley,MEM,2757,PG,Primary Ball Handler,13.22,4.90,2.62,2.27
87,2014-15,Kevin Durant,OKC,913,SF,Shot Creator,4.40,4.85,3.91,0.94
88,2018-19,Damian Lillard,POR,2838,PG,Shot Creator,13.20,4.83,5.14,-0.32
89,2019-20,Khris Middleton,MIL,1853,SF,Shot Creator,8.60,4.83,2.96,1.88
90,2017-18,Nikola Jokic,DEN,2443,C,Post Scorer,11.50,4.83,3.37,1.46
91,2011-12,Tim Duncan,SAS,1634,C,Post Scorer,7.80,4.80,1.28,3.52
92,2015-16,DeAndre Jordan,LAC,2598,C,Roll + Cut Big,12.30,4.76,1.19,3.56
93,2013-14,James Harden,HOU,2777,SG,Shot Creator,13.10,4.75,5.23,-0.48
94,2010-11,Paul Pierce,BOS,2774,SF,Shot Creator,12.94,4.75,2.94,1.81
95,2012-13,Tim Duncan,SAS,2078,C,Post Scorer,9.73,4.71,0.69,4.02
96,2019-20,Anthony Davis,LAL,2131,PF,Shot Creator,9.70,4.70,2.48,2.22
97,2017-18,Anthony Davis,NOP,2727,PF,Shot Creator,12.60,4.69,2.44,2.25
98,2019-20,Karl-Anthony Towns,MIN,1187,C,Versatile Big,5.40,4.65,4.52,0.13
99,2019-20,Luka Doncic,DAL,2047,PG,Shot Creator,9.20,4.63,5.51,-0.88
100,2018-19,Nikola Jokic,DEN,2504,C,Post Scorer,11.30,4.63,3.53,1.09
101,2017-18,Giannis Antetokounmpo,MIL,2756,PF,Shot Creator,12.60,4.61,2.70,1.91
102,2017-18,Karl-Anthony Towns,MIN,2918,C,Post Scorer,13.30,4.60,3.52,1.08
103,2011-12,Blake Griffin,LAC,2392,PF,Post Scorer,11.04,4.55,3.77,0.78
104,2022-23,Jaren Jackson Jr,MEM,1787,C,Versatile Big,7.80,4.52,1.11,3.41
105,2016-17,Giannis Antetokounmpo,MIL,2845,SF,Shot Creator,12.80,4.50,2.26,2.24
106,2016-17,Anthony Davis,NOP,2708,C,Shot Creator,12.10,4.49,2.07,2.42
107,2017-18,Damian Lillard,POR,2670,PG,Shot Creator,12.00,4.47,4.57,-0.10
108,2011-12,Dwyane Wade,MIA,1625,SG,Shot Creator,7.42,4.47,2.87,1.60
109,2017-18,LaMarcus Aldridge,SAS,2509,C,Post Scorer,11.20,4.46,2.99,1.47
110,2013-14,Kevin Love,MIN,2797,PF,Versatile Big,12.60,4.45,4.67,-0.22
111,2009-10,Tim Duncan,SAS,2438,C,Post Scorer,10.89,4.45,1.79,2.66
112,2023-24,Tyrese Haliburton,IND,1101,PG,Primary Ball Handler,4.70,4.45,6.05,-1.60
113,2022-23,Jayson Tatum,BOS,2732,PF,Shot Creator,11.70,4.42,4.29,0.13
114,2015-16,Nikola Jokic,DEN,1733,C,Post Scorer,7.80,4.41,1.32,3.09
115,2021-22,Stephen Curry,GSW,2211,PG,Primary Ball Handler,9.60,4.40,4.00,0.40
116,2019-20,Jayson Tatum,BOS,2265,PF,Shot Creator,9.90,4.38,2.81,1.56
117,2015-16,James Harden,HOU,3125,SG,Shot Creator,14.00,4.36,4.80,-0.45
118,2018-19,Nikola Vucevic,ORL,2510,C,Post Scorer,11.00,4.36,1.95,2.41
119,2013-14,Paul George,IND,2898,SF,Shot Creator,12.90,4.36,1.93,2.43
120,2020-21,Paul George,LAC,1821,SF,Shot Creator,7.90,4.36,2.65,1.71
121,2017-18,LeBron James,CLE,3026,PF,Shot Creator,13.30,4.35,4.58,-0.23
122,2018-19,Kawhi Leonard,TOR,2040,SF,Shot Creator,8.90,4.33,3.77,0.56
123,2022-23,Donovan Mitchell,CLE,2432,SG,Primary Ball Handler,10.30,4.31,3.58,0.73
124,2017-18,Jimmy Butler,MIN,2164,SG,Shot Creator,9.50,4.30,3.52,0.78
125,2017-18,Victor Oladipo,IND,2552,SG,Primary Ball Handler,11.10,4.29,2.30,1.99
126,2016-17,Nikola Jokic,DEN,2038,C,Post Scorer,8.90,4.28,3.75,0.52
127,2017-18,Russell Westbrook,OKC,2914,PG,Shot Creator,12.70,4.26,3.59,0.67
128,2010-11,Tim Duncan,SAS,2156,C,Post Scorer,9.38,4.25,0.76,3.49
129,2016-17,Damian Lillard,POR,2694,PG,Shot Creator,11.70,4.24,5.69,-1.45
130,2010-11,Kevin Durant,OKC,3038,SF,Secondary Ball Handler,13.18,4.23,4.73,-0.50
131,2011-12,Josh Smith,ATL,2329,PF,Post Scorer,10.26,4.22,1.05,3.18
132,2022-23,Luka Doncic,DAL,2391,PG,Shot Creator,10.00,4.22,5.03,-0.81
133,2019-20,Nikola Jokic,DEN,2336,C,Post Scorer,9.90,4.19,3.14,1.05
134,2011-12,Dwight Howard,ORL,2070,C,Post Scorer,9.06,4.18,0.36,3.82
135,2011-12,Marc Gasol,MEM,2370,C,Post Scorer,10.38,4.18,0.64,3.54
136,2010-11,Dirk Nowitzki,DAL,2504,PF,Post Scorer,10.74,4.15,3.13,1.02
137,2023-24,Donovan Mitchell,CLE,1067,SG,Primary Ball Handler,4.36,4.14,4.11,0.03
138,2018-19,Russell Westbrook,OKC,2630,PG,Shot Creator,11.10,4.13,2.75,1.38
139,2021-22,Al Horford,BOS,2005,C,Stretch Big,8.40,4.12,0.57,3.55
140,2022-23,LeBron James,LAL,1954,PF,Shot Creator,8.00,4.11,3.86,0.25
141,2011-12,Tony Parker,SAS,1923,PG,Primary Ball Handler,8.32,4.10,3.35,0.74
142,2018-19,Jusuf Nurkic,POR,1974,C,Post Scorer,8.30,4.08,1.45,2.63
143,2014-15,Draymond Green,GSW,2490,PF,Stretch Big,10.70,4.06,0.63,3.43
144,2022-23,Kawhi Leonard,LAC,1748,SF,Shot Creator,7.10,4.05,3.01,1.04
145,2023-24,Jayson Tatum,BOS,1360,PF,Shot Creator,5.45,4.02,3.34,0.67
146,2020-21,Jayson Tatum,BOS,2290,SF,Shot Creator,9.40,4.01,3.35,0.66
147,2013-14,Kyle Lowry,TOR,2862,PG,Primary Ball Handler,12.10,4.01,3.60,0.40
148,2019-20,Damian Lillard,POR,2474,PG,Shot Creator,10.20,4.00,5.87,-1.88
149,2009-10,Deron Williams,UTA,2802,PG,Shot Creator,11.72,4.00,4.12,-0.12
150,2014-15,Tim Duncan,SAS,2227,C,Post Scorer,9.50,4.00,0.35,3.64
151,2015-16,Andre Drummond,DET,2666,C,Post Scorer,11.30,3.98,1.34,2.63
152,2019-20,Rudy Gobert,UTA,2333,C,Roll + Cut Big,9.60,3.98,0.38,3.60
153,2016-17,Joel Embiid,PHI,786,C,Post Scorer,3.30,3.97,1.27,2.70
154,2018-19,Kyrie Irving,BOS,2214,PG,Shot Creator,9.10,3.97,3.69,0.28
155,2020-21,Luka Doncic,DAL,2262,PG,Shot Creator,9.20,3.97,4.67,-0.70
156,2011-12,Kevin Durant,OKC,2546,SF,Shot Creator,10.78,3.96,3.85,0.11
157,2021-22,Kevin Durant,BRK,2047,PF,Shot Creator,8.30,3.95,3.52,0.43
158,2021-22,Kristaps Porzingis,DAL/WAS,1481,PF,Versatile Big,6.00,3.91,2.09,1.82
159,2014-15,Paul Millsap,ATL,2390,PF,Shot Creator,10.00,3.91,1.60,2.31
160,2020-21,Zion Williamson,NOP,2026,PF,Shot Creator,8.20,3.91,3.97,-0.06
161,2013-14,DeMarcus Cousins,SAC,2298,C,Shot Creator,9.60,3.90,1.54,2.36
162,2017-18,Joel Embiid,PHI,1912,C,Post Scorer,7.90,3.90,2.20,1.70
163,2016-17,Mike Conley,MEM,2292,PG,Primary Ball Handler,9.40,3.90,4.09,-0.18
164,2020-21,Karl-Anthony Towns,MIN,1689,C,Versatile Big,6.80,3.88,3.16,0.72
165,2013-14,Manu Ginobili,SAS,1550,SG,Secondary Ball Handler,6.40,3.88,3.18,0.69
166,2014-15,DeAndre Jordan,LAC,2820,C,Roll + Cut Big,11.80,3.87,1.16,2.71
167,2018-19,Jrue Holiday,NOP,2402,SG,Shot Creator,9.80,3.87,3.15,0.72
168,2017-18,Rudy Gobert,UTA,1816,C,Roll + Cut Big,7.50,3.87,-0.17,4.04
169,2018-19,Mike Conley,MEM,2342,PG,Primary Ball Handler,9.50,3.86,3.76,0.10
170,2023-24,Anthony Davis,LAL,1444,C,Post Scorer,5.66,3.86,1.89,1.98
171,2022-23,Nic Claxton,BRK,2271,C,Roll + Cut Big,9.00,3.85,0.64,3.21
172,2011-12,Manu Ginobili,SAS,792,SG,Primary Ball Handler,3.29,3.84,4.71,-0.87
173,2021-22,Chris Paul,PHO,2139,PG,Primary Ball Handler,8.50,3.83,2.75,1.08
174,2013-14,Kawhi Leonard,SAS,1923,SF,Shot Creator,7.90,3.83,0.72,3.11
175,2019-20,Hassan Whiteside,POR,2008,C,Roll + Cut Big,8.10,3.81,0.49,3.31
176,2022-23,Ja Morant,MEM,1948,PG,Slasher,7.70,3.81,3.73,0.09
177,2017-18,Kevin Durant,GSW,2325,SF,Shot Creator,9.40,3.81,4.13,-0.33
178,2017-18,Kyle Lowry,TOR,2510,PG,Primary Ball Handler,10.20,3.81,2.98,0.83
179,2016-17,DeAndre Jordan,LAC,2570,C,Roll + Cut Big,10.40,3.80,1.09,2.71
180,2011-12,Derrick Rose,CHI,1374,PG,Primary Ball Handler,5.68,3.80,3.93,-0.13
181,2018-19,Karl-Anthony Towns,MIN,2545,C,Post Scorer,10.20,3.79,2.94,0.86
182,2022-23,Shai Gilgeous-Alexander,OKC,2416,PG,Shot Creator,9.50,3.79,3.58,0.21
183,2010-11,Derrick Rose,CHI,3026,PG,Shot Creator,12.24,3.77,4.29,-0.52
184,2015-16,Hassan Whiteside,MIA,2125,C,Post Scorer,8.70,3.77,0.63,3.14
185,2019-20,Kristaps Porzingis,DAL,1814,C,Versatile Big,7.20,3.76,1.25,2.51
186,2020-21,Damian Lillard,POR,2398,PG,Shot Creator,9.40,3.73,5.39,-1.66
187,2022-23,Damian Lillard,POR,2107,PG,Shot Creator,8.20,3.73,5.99,-2.26
188,2009-10,Chris Andersen,DEN,1695,PF,Athletic Finisher,6.79,3.72,0.54,3.18
189,2011-12,Ryan Anderson,ORL,1964,PF,Movement Shooter,8.00,3.72,4.13,-0.42
190,2010-11,Pau Gasol,LAL,3037,C,Post Scorer,12.18,3.71,2.19,1.52
191,2019-20,Joel Embiid,PHI,1506,C,Post Scorer,5.90,3.70,1.53,2.17
192,2015-16,DeMarcus Cousins,SAC,2246,C,Shot Creator,9.00,3.66,1.70,1.95
193,2020-21,James Harden,HOU/BRK,1609,SG,Shot Creator,6.30,3.66,4.42,-0.76
194,2014-15,LaMarcus Aldridge,POR,2512,PF,Post Scorer,10.10,3.66,2.91,0.75
195,2013-14,Blake Griffin,LAC,2863,PF,Post Scorer,11.50,3.65,2.90,0.76
196,2023-24,Kawhi Leonard,LAC,1244,SF,Shot Creator,4.71,3.64,2.74,0.90
197,2009-10,Josh Smith,ATL,2870,PF,Post Scorer,11.30,3.61,1.27,2.34
198,2023-24,Kevin Love,MIA,592,PF,Stretch Big,2.23,3.61,2.46,1.15
199,2022-23,James Harden,PHI,2135,PG,Shot Creator,8.10,3.59,3.45,0.14
200,2022-23,Stephen Curry,GSW,1941,PG,Primary Ball Handler,7.40,3.59,4.06,-0.47
201,2011-12,Danilo Gallinari,DEN,1351,SF,Secondary Ball Handler,5.39,3.58,2.12,1.46
202,2016-17,DeMarcus Cousins,SAC/NOP,2465,C,Shot Creator,9.60,3.58,2.69,0.89
203,2011-12,Pau Gasol,LAL,2430,PF,Post Scorer,9.68,3.58,1.49,2.08
204,2011-12,Paul Millsap,UTA,2099,PF,Post Scorer,8.36,3.57,2.23,1.34
205,2014-15,Damian Lillard,POR,2925,PG,Shot Creator,11.60,3.56,3.74,-0.18
206,2018-19,Eric Bledsoe,MIL,2272,PG,Primary Ball Handler,8.80,3.56,1.75,1.81
207,2012-13,Marc Gasol,MEM,2796,C,Post Scorer,11.02,3.56,0.18,3.37
208,2014-15,Danny Green,SAS,2312,SG,Movement Shooter,9.20,3.55,1.74,1.82
209,2013-14,Anthony Davis,NOP,2358,PF,Post Scorer,9.30,3.53,2.09,1.43
210,2020-21,Chris Paul,PHO,2199,PG,Shot Creator,8.40,3.53,2.50,1.03
211,2014-15,Marc Gasol,MEM,2687,C,Post Scorer,10.60,3.53,1.49,2.04
212,2013-14,Dirk Nowitzki,DAL,2628,PF,Post Scorer,10.30,3.52,3.31,0.21
213,2009-10,Pau Gasol,LAL,2403,C,Post Scorer,9.29,3.50,2.53,0.96
214,2023-24,Domantas Sabonis,SAC,1407,C,Roll + Cut Big,5.34,3.49,1.75,1.74
215,2023-24,Lauri Markkanen,UTA,1036,PF,Off Screen Shooter,3.96,3.48,3.13,0.35
216,2012-13,Dwyane Wade,MIA,2391,SG,Shot Creator,9.30,3.47,2.98,0.49
217,2022-23,Jrue Holiday,MIL,2183,PG,Primary Ball Handler,8.10,3.47,1.88,1.58
218,2017-18,Kemba Walker,CHA,2736,PG,Primary Ball Handler,10.50,3.47,3.40,0.07
219,2009-10,Chris Paul,NOH,1712,PG,Shot Creator,6.58,3.46,3.01,0.45
220,2013-14,DeAndre Jordan,LAC,2870,C,Roll + Cut Big,11.20,3.46,0.54,2.93
221,2010-11,Nene,DEN,2291,C,Post Scorer,8.81,3.46,0.95,2.51
222,2015-16,Ricky Rubio,MIN,2323,PG,Primary Ball Handler,9.00,3.46,2.27,1.19
223,2021-22,Ja Morant,MEM,1889,PG,Slasher,7.10,3.45,3.93,-0.48
224,2017-18,DeMarcus Cousins,NOP,1737,C,Shot Creator,6.60,3.43,1.89,1.54
225,2012-13,Dwight Howard,LAL,2722,C,Post Scorer,10.49,3.42,0.08,3.34
226,2014-15,Kyle Lowry,TOR,2414,PG,Shot Creator,9.40,3.42,3.02,0.40
227,2016-17,Gordon Hayward,UTA,2516,SF,Secondary Ball Handler,9.60,3.41,2.96,0.45
228,2023-24,LeBron James,LAL,1307,PF,Shot Creator,4.77,3.41,3.03,0.38
229,2019-20,Ivica Zubac,LAC,1326,C,Roll + Cut Big,5.00,3.40,0.58,2.82
230,2021-22,Jimmy Butler,MIA,1931,SF,Shot Creator,7.20,3.40,3.10,0.30
231,2023-24,James Harden,LAC,1190,PG,Shot Creator,4.34,3.40,2.71,0.70
232,2009-10,Andrew Bogut,MIL,2229,C,Post Scorer,8.46,3.39,-0.64,4.02
233,2021-22,Hassan Whiteside,UTA,1162,C,Roll + Cut Big,4.30,3.39,0.94,2.45
234,2011-12,Kevin Garnett,BOS,1864,C,Post Scorer,7.19,3.39,0.99,2.39
235,2009-10,Andre Miller,POR,2500,PG,Shot Creator,9.47,3.38,3.16,0.22
236,2013-14,Chris Bosh,MIA,2531,C,Athletic Finisher,9.70,3.38,1.49,1.89
237,2020-21,Clint Capela,ATL,1898,C,Roll + Cut Big,7.10,3.38,0.33,3.06
238,2022-23,Kevin Durant,BRK/PHO,1672,SF,Shot Creator,6.10,3.38,2.65,0.73
239,2009-10,Kobe Bryant,LAL,2835,SG,Shot Creator,10.74,3.38,3.16,0.22
240,2020-21,Kyrie Irving,BRK,1886,PG,Shot Creator,7.00,3.38,3.99,-0.60
241,2018-19,Hassan Whiteside,MIA,1674,C,Post Scorer,6.30,3.37,0.48,2.89
242,2021-22,LeBron James,LAL,2084,SF,Shot Creator,7.70,3.37,3.07,0.30
243,2021-22,Dejounte Murray,SAS,2366,PG,Slasher,8.80,3.35,2.77,0.58
244,2013-14,Goran Dragic,PHO,2668,SG,Shot Creator,10.20,3.35,4.13,-0.78
245,2014-15,Hassan Whiteside,MIA,1142,C,Post Scorer,4.40,3.35,0.97,2.38
246,2020-21,Kevin Durant,BRK,1157,PF,Shot Creator,4.30,3.35,3.46,-0.11
247,2015-16,Kevin Love,CLE,2424,PF,Versatile Big,9.20,3.33,2.25,1.08
248,2023-24,Kyrie Irving,DAL,864,SG,Shot Creator,3.11,3.33,3.73,-0.40
249,2021-22,Jrue Holiday,MIL,2207,PG,Shot Creator,8.10,3.32,2.30,1.03
250,2020-21,Anthony Davis,LAL,1162,PF,Shot Creator,4.20,3.29,1.62,1.67
251,2020-21,Fred VanVleet,TOR,1899,SG,Primary Ball Handler,6.90,3.29,2.00,1.29
252,2021-22,Myles Turner,IND,1235,C,Stretch Big,4.50,3.27,0.01,3.26
253,2013-14,Joakim Noah,CHI,2820,C,Shot Creator,10.60,3.26,0.52,2.74
254,2022-23,Fred VanVleet,TOR,2535,PG,Primary Ball Handler,9.10,3.25,2.98,0.26
255,2013-14,Tim Duncan,SAS,2158,C,Post Scorer,8.10,3.25,0.07,3.18
256,2018-19,Kyle Lowry,TOR,2213,PG,Primary Ball Handler,8.10,3.23,2.30,0.93
257,2011-12,James Harden,OKC,1946,SG,Primary Ball Handler,7.29,3.22,4.78,-1.56
258,2016-17,Kevin Love,CLE,1885,PF,Versatile Big,6.90,3.22,2.77,0.45
259,2009-10,Manu Ginobili,SAS,2150,SG,Shot Creator,7.92,3.22,3.64,-0.43
260,2013-14,Mike Conley,MEM,2446,PG,Slasher,9.10,3.22,3.10,0.12
261,2020-21,Mike Conley,UTA,1498,PG,Primary Ball Handler,5.40,3.22,1.86,1.36
262,2022-23,Tyrese Haliburton,IND,1883,PG,Primary Ball Handler,6.70,3.22,3.49,-0.26
263,2011-12,Serge Ibaka,OKC,1792,PF,Stretch Big,6.70,3.21,-0.62,3.83
264,2019-20,Paul George,LAC,1419,SF,Shot Creator,5.10,3.20,2.23,0.97
265,2012-13,Russell Westbrook,OKC,2861,PG,Shot Creator,10.61,3.20,3.50,-0.30
266,2014-15,DeMarcus Cousins,SAC,2013,C,Shot Creator,7.50,3.18,0.86,2.32
267,2012-13,James Harden,HOU,2985,SG,Shot Creator,11.03,3.18,4.14,-0.96
268,2020-21,Jrue Holiday,MIL,1907,PG,Shot Creator,6.80,3.18,1.78,1.40
269,2013-14,Kemba Walker,CHA,2614,PG,Slasher,9.70,3.18,1.51,1.66
270,2015-16,Rudy Gobert,UTA,1932,C,Roll + Cut Big,7.10,3.17,-0.51,3.67
271,2013-14,Russell Westbrook,OKC,1412,PG,Shot Creator,5.20,3.17,3.42,-0.24
272,2019-20,Brook Lopez,MIL,1817,C,Versatile Big,6.50,3.16,-0.51,3.66
273,2018-19,Kevin Love,CLE,598,PF,Versatile Big,2.20,3.15,2.20,0.96
274,2022-23,Paul George,LAC,1939,SG,Shot Creator,6.80,3.15,2.14,1.02
275,2015-16,Paul Millsap,ATL,2647,PF,Shot Creator,9.80,3.15,1.24,1.91
276,2012-13,Blake Griffin,LAC,2598,PF,Post Scorer,9.53,3.14,1.85,1.28
277,2022-23,Domantas Sabonis,SAC,2736,C,Roll + Cut Big,9.60,3.14,2.34,0.80
278,2011-12,Paul George,IND,1958,SG,Athletic Finisher,7.23,3.14,0.87,2.27
279,2021-22,James Harden,BRK/PHI,2419,SG,Shot Creator,8.60,3.13,3.44,-0.31
280,2022-23,Darius Garland,CLE,2447,PG,Primary Ball Handler,8.60,3.12,2.91,0.21
281,2009-10,Steve Nash,PHO,2660,PG,Shot Creator,9.63,3.12,4.51,-1.40
282,2018-19,Brook Lopez,MIL,2322,C,Stationary Shooter,8.30,3.10,-0.28,3.38
